timestamp,device,X,Y,Z,event
2026-06-16 10:22:04.037799,Pointer2ToEmTracker,56.060001373291016,16.18000030517578,-216.55999755859375,0
2026-06-16 10:22:05.530999,Pointer2ToEmTracker,57.59000015258789,15.630000114440918,-216.05999755859375,0
2026-06-16 10:22:05.542569,Pointer2ToEmTracker,59.040000915527344,17.450000762939453,-216.2100067138672,0
2026-06-16 10:22:05.644250,Pointer2ToEmTracker,59.83000183105469,18.219999313354492,-216.25999450683594,0
2026-06-16 10:22:06.589511,Pointer2ToEmTracker,60.849998474121094,19.100000381469727,-216.30999755859375,1
2026-06-16 10:22:06.602125,Pointer2ToEmTracker,61.0099983215332,20.290000915527344,-216.39999389648438,0
2026-06-16 10:22:07.637334,Pointer2ToEmTracker,60.77000045776367,20.610000610351562,-216.4199981689453,0
2026-06-16 10:22:09.747302,Pointer2ToEmTracker,61.849998474121094,19.59000015258789,-220.0500030517578,0
2026-06-16 10:22:11.720672,Pointer2ToEmTracker,60.720001220703125,20.940000534057617,-216.52999877929688,0
2026-06-16 10:22:12.996868,Pointer2ToEmTracker,61.849998474121094,21.850000381469727,-216.52000427246094,0
2026-06-16 10:22:14.613489,Pointer2ToEmTracker,61.70000076293945,21.510000228881836,-216.49000549316406,1
2026-06-16 10:22:15.572223,Pointer2ToEmTracker,16.059999465942383,14.890000343322754,-222.25,0
2026-06-16 10:22:18.119504,Pointer2ToEmTracker,11.369999885559082,18.270000457763672,-216.52999877929688,1
2026-06-16 10:22:18.130251,Pointer2ToEmTracker,10.199999809265137,20.059999465942383,-216.75999450683594,0
2026-06-16 10:22:18.176926,Pointer2ToEmTracker,10.569999694824219,20.389999389648438,-216.75999450683594,0
2026-06-16 10:22:19.276257,Pointer2ToEmTracker,11.380000114440918,20.270000457763672,-216.6999969482422,0
2026-06-16 10:22:20.230891,Pointer2ToEmTracker,11.34000015258789,20.010000228881836,-216.67999267578125,0
2026-06-16 10:22:26.402975,Pointer2ToEmTracker,12.09000015258789,19.309999465942383,-216.5399932861328,1
2026-06-16 10:22:28.242723,Pointer2ToEmTracker,61.130001068115234,18.3799991607666,-168.74000549316406,0
2026-06-16 10:22:30.634902,Pointer2ToEmTracker,79.77999877929688,22.149999618530273,-164.30999755859375,0
2026-06-16 10:22:30.729424,Pointer2ToEmTracker,77.9000015258789,21.59000015258789,-164.74000549316406,0
2026-06-16 10:22:31.331452,Pointer2ToEmTracker,77.7699966430664,21.670000076293945,-164.75999450683594,0
2026-06-16 10:22:31.924279,Pointer2ToEmTracker,77.7300033569336,21.889999389648438,-164.77000427246094,0
2026-06-16 10:22:33.476678,Pointer2ToEmTracker,79.23999786376953,22.65999984741211,-164.35000610351562,1
2026-06-16 10:22:33.487180,Pointer2ToEmTracker,79.94999694824219,22.75,-164.35000610351562,0
2026-06-16 10:22:36.136848,Pointer2ToEmTracker,80.55999755859375,22.600000381469727,-164.19000244140625,0
