meting_nr;timestamp;X;Y;Z
1;2026-06-16 10:22:06.589511;60.84999847412109;19.100000381469727;-216.30999755859372
1;2026-06-16 10:22:06.602125;61.0099983215332;20.290000915527344;-216.3999938964844
1;2026-06-16 10:22:07.637334;60.77000045776367;20.61000061035156;-216.4199981689453
1;2026-06-16 10:22:09.747302;61.84999847412109;19.59000015258789;-220.0500030517578
1;2026-06-16 10:22:11.720672;60.720001220703125;20.940000534057617;-216.52999877929688
1;2026-06-16 10:22:12.996868;61.84999847412109;21.850000381469727;-216.5200042724609
1;2026-06-16 10:22:14.613489;61.70000076293945;21.51000022888184;-216.4900054931641
2;2026-06-16 10:22:18.119504;11.369999885559082;18.270000457763672;-216.52999877929688
2;2026-06-16 10:22:18.130251;10.199999809265137;20.059999465942383;-216.75999450683597
2;2026-06-16 10:22:18.176926;10.56999969482422;20.38999938964844;-216.75999450683597
2;2026-06-16 10:22:19.276257;11.380000114440918;20.270000457763672;-216.6999969482422
2;2026-06-16 10:22:20.230891;11.34000015258789;20.01000022888184;-216.67999267578125
2;2026-06-16 10:22:26.402975;12.09000015258789;19.309999465942383;-216.5399932861328
3;2026-06-16 10:22:33.476678;79.23999786376953;22.65999984741211;-164.35000610351562
3;2026-06-16 10:22:33.487180;79.94999694824219;22.75;-164.35000610351562
3;2026-06-16 10:22:36.136848;80.55999755859375;22.600000381469727;-164.19000244140625
3;2026-06-16 10:22:38.223434;79.55999755859375;20.770000457763672;-164.27000427246094
3;2026-06-16 10:22:38.234706;79.16000366210938;20.59000015258789;-164.35000610351562
3;2026-06-16 10:22:39.010858;79.48999786376953;20.989999771118164;-164.32000732421875
3;2026-06-16 10:22:41.316988;78.52999877929688;21.399999618530277;-164.55999755859375
3;2026-06-16 10:22:41.438562;79.0199966430664;22.15999984741211;-164.50999450683594
4;2026-06-16 10:22:51.507198;-22.290000915527344;23.43000030517578;-164.9499969482422
4;2026-06-16 10:22:54.023203;-21.420000076293945;23.899999618530277;-165.1699981689453
4;2026-06-16 10:22:54.623453;-21.020000457763672;24.0;-165.25999450683594
4;2026-06-16 10:23:02.846408;-17.489999771118164;26.799999237060547;-166.05999755859375
4;2026-06-16 10:23:04.624729;-17.860000610351562;26.0;-165.97000122070312
4;2026-06-16 10:23:05.153530;-17.809999465942383;26.01000022888184;-165.97000122070312
4;2026-06-16 10:23:06.784219;-18.059999465942383;24.200000762939453;-165.83999633789062
5;2026-06-16 10:23:12.829803;38.77000045776367;-27.38999938964844;-215.6199951171875
5;2026-06-16 10:23:14.023779;37.63999938964844;-27.239999771118164;-215.42999267578125
5;2026-06-16 10:23:14.437421;37.68999862670898;-27.209999084472656;-215.44000244140625
5;2026-06-16 10:23:14.447982;38.86000061035156;-25.770000457763672;-215.66000366210935
5;2026-06-16 10:23:16.340068;36.790000915527344;-29.809999465942383;-214.92999267578125
5;2026-06-16 10:23:17.029967;38.77999877929688;-28.3799991607666;-215.4499969482422
5;2026-06-16 10:23:18.304181;43.66999816894531;-30.049999237060547;-215.6100006103516
5;2026-06-16 10:23:18.820295;42.41999816894531;-29.940000534057617;-215.5200042724609
6;2026-06-16 10:23:24.610507;1.659999966621399;-28.71999931335449;-216.0
6;2026-06-16 10:23:27.633772;1.8899999856948853;-27.600000381469727;-216.1300048828125
6;2026-06-16 10:23:30.325233;1.9800000190734863;-27.71999931335449;-216.1199951171875
6;2026-06-16 10:23:30.769407;1.9900000095367432;-27.739999771118164;-216.1300048828125
6;2026-06-16 10:23:34.976534;2.059999942779541;-28.530000686645508;-216.0399932861328
7;2026-06-16 10:23:54.868443;82.22000122070312;-29.13999938964844;-162.3699951171875
7;2026-06-16 10:23:57.920138;82.45999908447266;-29.86000061035156;-162.13999938964844
7;2026-06-16 10:23:58.185165;82.19999694824219;-29.799999237060547;-162.3000030517578
7;2026-06-16 10:24:00.136799;83.86000061035156;-27.61000061035156;-162.1199951171875
7;2026-06-16 10:24:01.029359;84.30000305175781;-27.229999542236328;-162.0399932861328
7;2026-06-16 10:24:02.215955;83.3499984741211;-27.76000022888184;-162.22000122070312
8;2026-06-16 10:24:17.171958;-48.43000030517578;-34.31999969482422;-154.35000610351562
8;2026-06-16 10:24:20.703374;-48.09999847412109;-35.22999954223633;-154.5500030517578
8;2026-06-16 10:24:21.123404;-48.2400016784668;-35.45000076293945;-154.44000244140625
8;2026-06-16 10:24:23.836608;-48.79999923706055;-35.79999923706055;-154.0800018310547
8;2026-06-16 10:24:28.047034;-49.119998931884766;-35.959999084472656;-153.89999389648438
8;2026-06-16 10:24:28.341845;-49.2400016784668;-36.0;-153.85000610351562
8;2026-06-16 10:24:28.969979;-49.2400016784668;-35.9900016784668;-153.83999633789062
8;2026-06-16 10:24:29.953373;-49.15999984741211;-36.0099983215332;-153.8699951171875
